Order ID,Sale date,Brand,Category,Sub- Category,Product Name,Sale price,Quantity,GST,Growth %,City,Region,State
ORD100000,08-12-2022,Royal Stag,Vodka,Classic Vodka,Absolut Blue,443.6,10,438.64,4.18,Coimbatore,South,Tamil Nadu
ORD100001,16-08-2024,Kingfisher,Vodka,Flavored Vodka,Magic Moments Orange,2235.98,9,3558.7,4.6,Delhi,North,Delhi
ORD100002,25-11-2024,Royal Stag,Vodka,Classic Vodka,Smirnoff No.21,1455.14,4,953.37,-7.7,Delhi,North,Delhi
ORD100003,16-08-2023,Blenders Pride,Brandy,Cognac,Remy Martin VSOP,1400.5,10,2328.91,23.63,Kolkata,East,West Bengal
ORD100004,08-05-2025,Antiquity Blue,Beer,Strong Beer,Kingfisher Strong,1923.42,3,633.86,-8.54,Delhi,North,Delhi
ORD100005,26-12-2022,Kingfisher,Whisky,Scotch,Glenfiddich 12,1147.33,5,642.59,-6.9,Delhi,North,Delhi
ORD100006,13-11-2023,Budweiser,Whisky,Single Malt,Amrut Fusion,1540.97,6,1467.82,5.18,Ludhiana,North,Punjab
ORD100007,14-02-2021,McDowell No.1,Vodka,Flavored Vodka,Absolut Raspberry,666.58,8,374.73,-9.88,Nagpur,West,Maharashtra
ORD100008,18-04-2021,Kingfisher,Brandy,Cognac,Remy Martin VSOP,1639.75,4,427.49,20.25,Nagpur,West,Maharashtra
ORD100009,28-03-2025,Blenders Pride,Beer,Mild Beer,Kingfisher Premium,923.83,3,206.46,-13.55,Coimbatore,South,Tamil Nadu
ORD100010,18-04-2023,Old Monk,Whisky,Blended,Royal Challenge,302.03,4,213.72,-6.38,Siliguri,East,West Bengal
ORD100011,31-07-2021,McDowell No.1,Vodka,Flavored Vodka,Magic Moments Orange,2066.17,12,2659.76,15.09,Bengaluru,South,Karnataka
ORD100012,27-08-2022,Antiquity Blue,Rum,Dark Rum,Old Monk Gold Reserve,1721.07,2,356.6,8.72,Mysuru,South,Karnataka
ORD100013,23-02-2022,McDowell No.1,Beer,Mild Beer,Budweiser,2147.09,1,285.81,19.6,Mysuru,South,Karnataka
ORD100014,02-10-2023,Old Monk,Beer,Strong Beer,Thunderbolt,2308.79,5,1260,12.79,Pune,West,Maharashtra
ORD100015,27-12-2022,Old Monk,Vodka,Flavored Vodka,Absolut Raspberry,1738.19,9,2527.59,-2.22,Bengaluru,South,Karnataka
ORD100016,02-06-2020,Antiquity Blue,Vodka,Classic Vodka,Absolut Blue,1440.65,6,1255.04,11.44,Jalandhar,North,Punjab
ORD100017,19-10-2021,Old Monk,Rum,Dark Rum,McDowell’s Celebration,2132.46,9,995.62,12.95,Pune,West,Maharashtra
ORD100018,19-07-2024,Antiquity Blue,Whisky,Scotch,Glenfiddich 12,1752.83,10,1756.81,-6.55,Nagpur,West,Maharashtra
ORD100019,18-05-2020,Old Monk,Whisky,Scotch,Chivas Regal 12,634.08,11,1036.23,-1.53,Ludhiana,North,Punjab
ORD100020,10-03-2021,Antiquity Blue,Beer,Strong Beer,Thunderbolt,1389.15,4,992.74,-1.84,Amritsar,North,Punjab
ORD100021,16-12-2020,Kingfisher,Brandy,Cognac,Martell VS,840.84,8,626.9,24.66,Amritsar,North,Punjab
ORD100022,03-12-2023,Antiquity Blue,Brandy,Cognac,Remy Martin VSOP,1699.01,8,766.42,9.11,Mumbai,West,Maharashtra
ORD100023,31-10-2024,Antiquity Blue,Vodka,Flavored Vodka,Magic Moments Orange,395.46,2,121.37,-12.54,Ludhiana,North,Punjab
